time,open,high,low,close,volume,spread,real_volume
2018-05-22,8376.17,8390.83,7927.71,7967.97,82728,1550,0
2018-05-23,7968.01,8009.13,7413.26,7494.61,83026,443,0
2018-05-24,7494.88,7713.59,7247.64,7566.19,83175,1612,0
2018-05-25,7566.23,7640.98,7298.05,7449.69,82710,1482,0
2018-05-26,7449.76,7604.83,7271.28,7322.31,82144,1392,0
2018-05-27,7322.43,7379.84,7194.86,7332.63,82863,1298,0
2018-05-28,7332.64,7429.11,7056.69,7084.87,83133,1515,0
2018-05-29,7084.49,7512.35,7023.28,7455.01,82730,933,0
2018-05-30,7455.29,7545.73,7250.44,7366.93,82846,1491,0
2018-05-31,7367.0,7588.08,7317.11,7477.79,82839,1528,0
2018-06-01,7477.8,7591.36,7323.25,7502.78,82885,1512,0
2018-06-02,7502.73,7673.28,7423.44,7623.29,82614,1396,0
2018-06-03,7623.38,7763.35,7553.83,7694.64,82279,1369,0
2018-06-04,7694.65,7740.0,7427.61,7479.32,82538,1367,0
2018-06-05,7479.59,7653.24,7311.43,7606.83,82885,1491,0
2018-06-06,7606.88,7682.72,7466.59,7645.41,82672,12,0
2018-06-07,7645.08,7738.03,7621.95,7680.48,82095,1264,0
2018-06-08,7679.77,7688.04,7534.03,7607.11,82748,1867,0
2018-06-09,7607.35,7670.63,7452.14,7492.64,82449,644,0
2018-06-10,7492.61,7492.61,6631.18,6763.57,83029,659,0
2018-06-11,6763.69,6899.48,6638.74,6873.52,82860,3038,0
2018-06-12,6873.69,6874.03,6441.56,6541.79,82721,2164,0
2018-06-13,6541.96,6612.2,6128.95,6289.5,83205,1645,0
2018-06-14,6289.42,6707.15,6261.3,6634.33,83137,1188,0
2018-06-15,6634.38,6659.19,6357.86,6384.95,83084,1515,0
2018-06-16,6385.1,6545.01,6320.42,6481.39,82842,1816,0
2018-06-17,6481.54,6569.04,6419.63,6440.72,83078,734,0
2018-06-18,6440.88,6789.89,6374.38,6704.02,82936,679,0
2018-06-19,6704.22,6830.53,6660.53,6728.87,83406,636,0
2018-06-20,6728.85,6810.97,6554.27,6755.57,82305,558,0
2018-06-21,6755.83,6783.92,6675.04,6712.97,82614,550,0
2018-06-22,6713.03,6725.76,5928.63,6046.69,83100,520,0
